와 썸네일 보자마자 노네임드인거 알았다 손
현재 네이버 웹툰 홈에 들어가면 신작이라고 광고가 뜨고 있습니다. 그런데 거기에 "거대한 인공지능이 움직이는 회사. 그 인공지능이 꿈을 꾸기 시작했다." 라는식으로 설명이 있습니다.첫번째 문장이 뜻하는 것은 바로 '지금 이 회사에 거대한 인공지능이 있다' 라는거죠.두번째 문장이 바로 핵심입니다. 여기서 '꿈'은 두가지 의미로 해석될 수 있죠. 우선 첫번째 해석은 '희망' 즉 'hope' 입니다. 이렇게 해석하면 웹툰 전개는 사람들의 생체 에너지를 모아서 그걸로 인공지능에게 무언가를 해주는 전개라고 생각합니다.그리고 두번째 해석은 바로 꿈 그 자체, 'dream' 입니다. 그러면 지금 사람들의 꿈 속에 나타나는 존재가 그 인공지능이라고 됩니다. 인공지능이 모종의 이유(아마도 외로움)로 사람들이 꾸는 꿈에 들어가고, 루시드드림을 꾸는 사람들이 인공지능의 정체를 파해치는 전개 인겁니다. 참고로 저는 이쪽이 맞는 것 같습니다.이렇게 어찌 되었든 루시드 드림이 중요한 것 같습니다
난 돈도 안 받는데 생체에너지를 어따 갖다바치길래 자도 자도 졸리냐
8번 떡밥 찾으러왔다
여러가지 이유로 흥분을 멈출 수 없뎈ㅋㅋㅋㅋㅋㅋ
예.  부드럽습니다. 여성은 남성보다 부드러운 편이에요. 머리카락이.
저 주인공들은 생체 에너지를 만들기 위해서 계속 잠을 자는 겁니다. 그렇게 만들어진 생체에너지는 주인공들이 알고 있는 대로  필요한 사람들에게 보급되는 게 아니라 어떤 한 존재에게 집중되는 것 같습니다. 프롤로그에 나온 표현처럼 '잠을 극복한' 존재가 만들어진 것 같네요. 아마 남은 이야기는 저 리사라는 초월적 존재를 중심으로 일어나지 않을까 싶습니다.(온전히 제 추측이에요)
은근히 섹드립 많네..ㅎ
응 리사가 너만 보이는 이유는 넌 주인공이기 때문이야
첫번째 베뎃 닉네임이 심상치않다.
다 떠나서 진짜 스토리 전개 자체가 소름이다...그림체 자체가 긴장하면서 보게되고..뭔가 쎄허개 느껴지는건 나뿐인가..
이 웹툰은 현재 베댓님들처럼 그냥 즐기는게 답이에요.노네임드에서 추리계 전설로불린 1분빼고는 다 틀렸었어요...그 1분조차도 전부 맞추지는 못했구요
자꾸 묻히네웹툰 메인에 보면 꿈의 기업 설명이 나오는데거기설명이문명을 지배하는 거대 기업(이건 주인공이 다니는 회사)거대기업을 움직이는 인공지능(회사 시스템이 인공지능 인가봄)그리고 마지막이[그 인공지능이 꿈을 꾸기 시작했다] 인데요꿈은 두가지 해석이 가능한데dream을 애기한다면 인공지능이 인간의 경지에 다다랐다는(리사)것을 의미하거나장래희망을 애기한다면인공지능을 넘어선 인공자아에 다다랐다는걸 애기하는거 같네요+리사라는 여자도 꿈꾸는거네요 보면 여자가 사라진후 통에서 눈을 뜨죠? 아마도 리사는 여기 근무하는 사람들의 꿈에 들어갈수 있나보네요
자각몽 꾸게 되면 깰때까지 치킨 시켜 먹고 싶다
저 리사는 평생 생체에너지를 착취당하는 제1의 피해자가 아닐까? 저 에너지를 얻기 위해 실험을 여러 번 했을텐데 그 중 유일하게 성공하고 현재까지 살아남은 실험체?
발가벗고 그런소리 하지말라곸ㅋㅋㅋㅋㅋㅋㅋ
캐릭터에 대한 떡빕이 하나 풀렸습니다.안경남의 감정변화는 놀랄 땐 입을 크게 벌리고 눈썹이 올라가며 고민할 땐 입을 닫고 눈썹은 찡그리는 등 눈썹과 입꼬리로 판단할 수 있는데 이러한 점을 근거로 아래의 상황에서의 판단이 내려집니다.이번화 50%쯤의 진행상황에서 의문의 존재에 대한 이야기중에 주황머리의 남자가 관심을 갖는데 이때 안경남의 반응이 눈여겨집니다.여자는 흥미로워하고 주인공은 남자의 관심에 놀라는 반면 안경남은 남자의 갑작스런 태도변화에 놀라고(눈썹이 올라감) 의심을 품고(입꼬리가 내려감) 그후에 남자에 대한 관찰로 넘어갔다고 보입니다.이러한 장면을 근거로 아마 남자는 주인공집단과 대립될 것이라 예상합니다.그밖에도 작가님의 표현방법으로 그림자도 있었지만 확실한 판단이 어려우므로 여기까지 마치겠습니다.
여자는 부드럽구나...
제 추측인데..... 아니겟죠...저남자는 꿈의 기업이라는 데에 들어오고 사람이 잠을 자며 나오는 생체에너지를 공급하죠..... 그리고 저 여자는 갇혀있습니다여자는 이 말을 하죠 '나 좀 꺼내줘' (급전개 주의) 다른사람에게도 보였다는것, 다른사람들은 무서워한다는것 그것으로 봣을때에는 저 리사라는 사람은 자신을 꺼내줄 사람을 찾아 매일 다른사람의 꿈에 나오는것 같습니다 그리고 이제 스토리로 보아하면.... 리사라는 사람을 둘러싸고 꿈의 기업의 비밀과 생체에너지를 공급받은 사람의 상태 이런게 나올것같아요... 저 여자는 에너지를 공급받은 실험체? 그럴것 같네요.... 아직은 잘.... 3화까지 보면 다시 추리 해볼게요..이상태로 묻히겟죠 저는....
