진짜사나이하기전부터나온거임 오해하시는분없기를바람
여자지만 군 가산점 인정해야한다고 봄. 국방의 의무를 다하느라 여자보다 사회생활이 2년씩 늦어지는 건 명백히 손해 아님..?
저기 중간쯤에 여자들이 "여자는 애도 낳고 군대도 가는데 당현히 군가산점 줘야되는거 아닌가요?"라고 하는 컷 옆에 남자들이 "그래서요?으하하핫"하고 웃는 장면 옛날에 티비 토론 중 여성부가 "남자들만 나라를 지키는게 아닙니다 여자들도 사회에 나가서 일을 하니 여자들도 국방의 의무를 다하는 겁니다"라고햇을때 어떤 남성분이 "여자는 사회에 나가서 일을 하니 국방의 의무를 다하는 겁니다 라고 하셧죠? 저도 총대신 책을 잡고 싶었습니다"라고 말하니까 여성부가 "그래서요? 깔깔깔"하고 웃은거 패러디? 재연?한거 같은데...모두가 볼수있게 베댓좀ㅠㅠ
진심 성폭행범 내탓아니다 니탓이다하는거 극혐
성폭행 해놓고 다 여자가 짧게입은탓이라며 별 되도않는 소리하는게 현실이다;이쁘게 꾸미지도 못하냐.저런놈들은 콩밥도 줘도안된다;
군대 사실상 현대판 노예제도 아니냐? 최저임금도 안줘, 2년동안 끌고가서 보상해주는거 하나 없어. 일본 황군 똥군기 그대로 물려받아서 폭력적이고 폐쇄적이고 은폐적이고.. 애국과 충성? 이게 열정페이랑 다를게 뭐냐? 구조는 또 돈 있는 놈들은 빼기 쉽게 짜여져 있고.. 징병제 하는 국가중 대한민국이 제일 대우가 최악이다. 전시상황에 실제 여자까지 병역의무 지는 이스라엘 군대도 1주에 한번은 군 부대 밖에 나가더라.. 이딴 합법적 강제수용소는 북한 이외에 없다.
동생:언니 군대가면 언니옷 다 내꺼수아:가슴 안 맞아 이 년아
치한 차는 의경언니 멋져보였던거 나뿐임....?
미키 (fore****) 2014-05-21 20:52 | 신고BEST여자가 군대갈 일은 없을거다. 왜냐면 지금 군문제에 딱 3배정도는 문제거리가 늘어날거니까. 군내성추행성폭행부터 시작되서 군내 임신, 부당대우, 여자들끼리니까 군내 왕따도 심할거고.. 사람이 두배로 늘어나니 문제도 그만큼 늘어나겠지. 지들 계급지키기 바쁜 군 윗사람들이 그걸 달갑게 여기겠어? 여자들이 군대가길 바라는거보단 통일되길 바라는게 더 빠를거다..베도에 있었던 미키님의 베댓입니다
토론하는장면은 진짜로 있던일입니다
여자는 이러면 좋겠다. 아예 안 가는 것보다 조금이라도 전투 시에 도움이 될 수 있도록 간호 교육과, 기본적인 총 쏘는 법, 위장 하는 법 같은 걸 배우고, 생리일 경우에는 생리통이 심하니 좀 쉬게 해주고,(남자도 물론 쉬게 해줘야 한다) 그렇게 총 쏘는 법, 간호하는 법, 위장하는 법 등을 가르쳐서 전투 시에 도움이 되도록 해주고, 전투식량 제조나 그런 것은 강의를 해 줬으면 좋겠다. 그리고 한 번에 오래 있지 말고. 잊어버릴 수도 있으니 1주일에 한번씩 번갈아 가며 2년을 채우거나, 아님 한번에 2년 채웠으면 좋겠다.  모바일인데 힘들게 썼다
군대가는 남자중에 솔직히 말해서 입영통지서 받고 "아 가기싫다..."이생각 안드는 남자 없다.
근데 몇몇 남자를 제외하고 그게 당연한 일이고 중요한 일임을 알기에 간다. 
근데 남자들이 군대가면서 빡치는게 뭔줄아냐?
여자들이 그걸 고마워 하는 마음은 커녕 당연한 일을 가지고 찡찡댄다고 저러고있다.
남자들이 여자들 생리현상은 당연한건데 왜 찡찡대냐고 말하면 니네들은 기분이 좋냐?
보통여자들 남자들 군대가는거 전혀 당연하다 안여깁니다. 엄청힘들겠고 당연히 20대에 가는걸 누가 좋아해요 청춘에 몸바치는 거잖아요. 군대가는 남자들 정말 멋있어요 자기몸희생해서 바치는거잖아요 근데 자꾸 여성부거리는데 저희도 여성부 싫어합니다 그리고 남자들 뜯어내는 나쁜년들도 싫어하구요 근데 댓글읽어보니 착각하고 계시는 분들 있네요 여성부,이상한여자 같은사람들은 여자중 극소수입니다. 정신 제대로박힌여자들많아요. 괜찮은 여자들 잘못보지 말아주세요.. 그리고 임신어쩌고그러시는분들 군복무랑 임신은 별개의 일입니다 왜 둘을 같이 거론하십니까
20화 배댓보고왔는데전혀안닮은것 같은사람 손
배뎃 보고왓는데 전혀 안닮았다
저여자가 옷을 야하게 입어서 그런거다 저여자탓이다=보석상에 보이는 보석이 너무 예뻐서 가져갔다 보석탓이다
베댓보고왓다고 좋아요 강요하는애들 잇을줄은 알앗지만언제봐도 꼴불견같음
내일 3월 2일자 해군 입대 입니다. 모두 축하해 주세요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 모든 해군들을 위해 건강히 다녀올 수 있도록 기원합니다!!!!!!!!!
수아는 군대를 가고우리는 학교를 가야합니다...
허허...엄한곳이 유난히 강조가 많이 되어있군...작가님 군대얘기라면서 여기서 여주를 이런식으로 강조해서 그리시면 매주 보겠습니다.
반배치 망한분 손
베댓하나가 겁나 눈에 거슬려서 댓글하나 답니다. 군가산점폐지원인은 여성부였습니다. 여성부에서 여성들의 의견도존중해야한다며 여성들에게 설문조사를해보자고 제안하고 여자대학생들을위주로 설문조사를한결과 90%이상의 여학생들이 군가산점을 부당하다고 결과를냇습니다.그리고 결과가 군가산점폐지였죠. 알고 씨부립시다
일단 이건 확실하다. 우리나란 휴전국가지 정전국가가 아니라는 사실과 전쟁났을 경우에 국방의 의무인 부칸 여군들이 AK소총 한발이라도 쏠때 우리나라 여잔 꺅꺅 대면서 살려달라고만 할거라는거지.
사실 대한민국 국민이라면 남녀 불문하고 국방의 의무를 집니다. 대한민국에 있는 여성은 대한민국의 국민이 아닙니까? 더군다나 우리는 휴전상태입니다. 뭐 임신을 예로 들어 의무를 면하려고 하나 임신여부는 국가의 강제력이 아닌 자신들 본인들의 의사로 결정하는 것이고 또 임신을 하였다고 군 입대한 것처럼 자유가 박탈되는 것도 아닙니다. 더군다나 현제 우리의 출산율은 최저입니다.
일딴 저는 여자사람이고요 , 군가산점은  부활이 맞는듯 해요 남성 분들 말처럼 군의무때문에 2년 넘는시간을 나라에 기부하는데 그정도혜택은 받아야한다고 생각합니다 지나간시간은 돌아오질않고, 국가지키러가는 거잖아요 그리고 조심스레 말씀 드리는데.. 여자도 6개월정도 군대를가면 좋을꺼같아요  군대에서 간호장병들처럼 전시 응급간호나 전시 음식 총기사용법등 여성도 나라를지키기 위해 할수있는일을 배워야 혹시나 전시상황일때 내가족 내아이 내한몸 지킬수있지않을까합니다..물론 예비군도요 까먹음 안돼니까요^^;그리고 남성분 여성분들 임신과출산으로 싸우시는데요  임신은 혼자하는게아니고 둘이함께입니다 새생명  사랑의결실이라하죠왜 군대에 임신을 비교하는지모르겠네요 아기가 군대랑 뭔상관이죠? 여자분들 아들낳으면 아들도 군대가고요 ,남자분들 딸낳으시면댁의 따님도 나중에 아이를낳아요..그리고 여성부이야기 하시는데 여성부는 군대이야기 그만하고 칸통법,보육법이나  신경좀쓰길.. 화분이나 사지..쯧
여성부잘못한점여성부장관 화분사는게1570만원군5년으로늘리자함회식비총14억정도직업없는여성교육시킨다며70억사용이연숙국회의원:군대는집지키는개가끔씩말도안되는말로 나라망신도시킴남자를욕하고 여자를쉴드치는데 여자단체로욕먹음셧다운제로 블리자드 영업중지위기넥슨 일본쪽으로이동하려함삼성 미국업체로 이동할뻔그리고 나라별 월급차이유럽370만원+생명수당+전사시7억원일본550만원+생명수당+전사시10억원미국660만원+생명수당+전사시 국가유공자 국립묘지대만94만원+생명수당+전사시5억원이스라엘150만원+생명수당+전사시6억원대한민국10만원+전사시9000원나라별 군전역 혜택유럽 퇴직금1억3천만+사회보장대우및연금혜택일본 퇴직금2억6천만+취직가산점+연금혜택미국 퇴직금3억8천만+대학입학금전액지원대만 사회가산점+사회복지시설할인+세금20%감소이스라엘 의료보험혜택+대학입학금전액지원대한민국 그게뭐임??먹는거임?이동하는것도사비로하는데이정도만하고잘한점(...........)끝인데요?
지금 여군장교들 어떻게 근무하는지는아냐? 걔네 그냥 돈이나 축내고 피크닉온 애들이야 걔네 일반 병사만도못해 그리고 요즘 진짜사나이 방송내보내는거보고 군대에대해 오해하는데 작가가 이 글을 볼지모르겠다만 군필인지 아닌진 모르겠지만 최대한 사실적으로 그려주길 바란다 군필자들은 군대서 훈련받은걸 진심을담아 힘들다하지 않는다 그냥 자리에서 뜯고씹을 안주거리로 생각한다.훈련이힘든게 아니다 훈련이외의것이 군인을 힘들게하고 미쳐버리고 돌아버리게 만들고 사건 사고를 일으키게하고 극단적 상황으로 내몬다 이게 진실이다 군필자라면 격하게 공감할수밖에 없을거다 군대가면 무슨 훈련받는지 뭐하는지는 인터넷만 쳐봐도 다나온다 그것보다는 내가 위에서 말했던 부분들을 상세히 그려주길 바란다
웹툰 작가를 비롯한 일부 사람들에게 좀 알립니다일제강점기 우린 일본군을 "쪽바리" 라불렀고쪽바리들은 우리는 "조센징" 이라 비하했지.현재도 일본인들은 우리를 조센징이라 부르고있고우리 또한 일부 그렇게 부르고있지여기서 관점은 우리 대한민국 국군, 우리나라 국군은 말이다일본의 쪽바리도 아닌 대한민국 국민에게"군바리" 라고 비하발언을 듣고있는데 이딴 어이없는 비하단어를 아무렇지않고 쓰고있는 이웹툰작가와 그단어를 아무렇지 쓰지않고 사용하는 국민들에게  제발 군바리가아닌 군인이라는 정확한 언어선택을 해주었으면 합니다국군의 이념"국군은 국민의 군대로서 국가를 방위하고 자유민주주의를 수호하며 조국의 통일에 이바지함을 그 이념으로 한다”국군의 사명"대한민국의 자유와 독립을 보전 국토 방위 국민의 생명과 재산 보호 나아가 국제평화 유지에 이바지하는 것이다."군인들은 명예로 죽고 명예로 살아갑니다.이상 현역 중사의 한 (恨)이었습니다 맹호!
이 웹툰은 항상 만화는 재밌는데 베댓 읽으면서 기분나빠져서 나간다. 군가산점 그런 얘기들이 진짜 해결되길 바라는 문제라면 이 웹툰에 댓글쓰고 있을게 아니라 그 논리로 병무청이나 여성부에 민원을 쓰고 있어야 한다. 한둘이 그러면 묵살당할게 뻔하지만 이 댓글 수만큼, 좋아요 수만큼, 그보다 더 많은 사람들이 민원을 쓴다면 과연 무시할 수 있을까? 그런게 바로 문제를 해결하는 방식이다.. 이런데서 갑론을박 싸우는건 자기 의견 논리 과시밖엔 안된다..
아니 근데 군대얘기라면서 가슴이랑 엉덩이부각은 왜하는거지 이해가안됨..
충성할때 하애진 있네 ㅋㅋㅋ
그러고보니 저놈 편지 안씀?
