솔직히 쳐맞을 애들 많지
ㅋㅋ 3쿠키를 아무렇지 않게 보는사람이 하나둘 생기는 이상 3쿠키의 흐름은 거스를수 없게되는겨
검성 고길동 어디갔냐
3개 2개 선정 조건이 뭘까? 작가가 원하는 만큼인가?
만안구 황금큐대ㅋㅋㅋㅋㅋㅋㅋㅋ
ㄹㅇ이네? 이거 왜 쿠키 3개임?
근데 나만 쿠키 인상과 별테가 관계가 있는건지 이해가 안되나?? 3쿠키 내야된다고 별테를?? 나만 이해가 안 되는데...
근데 저 선생님 잘생겼지 않음?나만그런가
본인들 현명한 소비자인척 댓글창 쿠키 얘기로 도배해놨네ㅋㅋㅋ진짜 현명한 소비자는 그냥 일주일 기다려서 만화 봄. 쿠키같은거 조용히 안굽는다는거지쿠키 구워서 요란하게 댓글 남기는건 네이버 측에서는 전혀 위협이 안됨아닌거같으면 소비를 안해주면 되는건데 굳이굳이 쿠키 구워놓고 똑똑한척 궤변 늘어놓는거 짜증남 몇주내내 베댓창에 쿠키얘기밖에없는거 장난하냐고;
아니 쿠키는 쿠키고 별점은 별점이지 별점이 8점대인 이유가 뭐임?
와 3쿠키 였어????? 실화야????? 난 여기까지! 3쿠키는 못굽습니다! 구우실분은 시장원칙에 따라 계속 구우시면 되겠습니다
쿠키가 3개면 쿠키를 안 구우면 될것이지 별점테러는 왜 하냐ㅋㅋ
그냥 돈 아까운 사람은 별점 쳐 내리지 말고 그냥 한 주 기다리면 되잖아?
별태하지마라고 
별테 뭐냐...아무리 쿠키가 3개라고 하지만 그렇다고 작품에 대한 별태를 하면 안되지
["\uc194\uc9c1\ud788 \uccd0\ub9de\uc744 \uc560\ub4e4 \ub9ce\uc9c0", "\ud559\ud3ed \uac00\ud574\uc790\ub4e4\uc740 \ucc98 \ub9de\uc544\ub3c4 \ud560 \ub9d0 \uc5c6\uc9c0", "\ubd80\ud65c\ub0a8 \ud558\uc6b0\uc2a4\ud0a4\ud37c \uae00\uc791\uac00\ub2d8\uacfc \uc2e0\uc11d\uae30\ub140 \uadf8\ub9bc\uc791\uac00\ub2d8 \ub4c0\uc624..\uc9c4\uc9dc \"\ucc38\uad50\uc721\" \ud558\ub7ec \uc624\uc168\ub124", "\uadfc\ub370 \uc774\uac8c \ub300\ud55c\ubbfc\uad6d\uc758 \ud604\uc2e4\uc784...", "\uc800 \uc7a5\ubc1c\uc544\uc800\uc528 \ud55c\ud14c\uc11c \ubd80\ud65c\ub0a8 \uc11d\ud658\uc774 \ub0c4\uc0c8\uac00\ub09c\ub2e4..\ube60\uafb8\uc5c6\ub294 \uc0ac\uc774\ub2e4 \uce90\ub9ad", "\uc694\uc998 \uc560\uc0c8 \uae30\ub4e4 \uac1c\ud310\uc774\ub77c \uc774\ub7f0 \uc6f9\ud230\uc73c\ub85c \ub300\ub9ac\ub9cc\uc871 \ud574\uc57c\uc9c0", "\uc774\uc6f9\ud230 \uac80\uc5f4\ud558\uba74 \ub124\uc774\ubc84 \uc548\uc4f4\ub2e4", "\ub09c \uc800 \ubc29\uad00\uc790 \uc0c8\ub07c\ub4e4\uc774 \uc81c\uc77c \ube61\uce58\ub294\ub370 \ud3f0 \ub4e4\uace0 \ucc0d\ub294...", "\uad50\uad8c\uc744 \ub0ae\ucd94\ub4e0 \uc62c\ub9ac\ub4e0 \ud76c\uc0dd\uc790\uac00 \uad50\uc0ac\uc5d0\uc11c \ud559\uc0dd\uc774 \ub420 \ubfd0... \ub2f9\uc5f0\ud788 \uc774\uac78 \uc801\uc808\ud788 \uc720\uc9c0\ud558\ub294\uac8c \ub9e4\uc6b0 \ud798\ub4e4\uc9c0... \ub9cc\ud654\ub294 \ub9cc\ud654\ub85c\ub9cc \ubd05\uc2dc\ub2e4... \uc2e4\uc81c\ub85c\ub294 \ubd88\uac00\ub2a5\ud558\uace0 \uc788\uc5b4\uc11c\ub3c4 \uc548\ub418\ub294 \uc77c\uc774\uc9c0\u314e\u314e", "\u314b\u314b\u314b\u314b \uc88b\ub2e4! \uc774\ub7f0\uac8c \ucc38\uad50\uc721\uc774\uc9c0 \ubb50? \ud559\uc0dd\uc778\uad8c? \uc778\uad8c\uc740 \ub0a8\uc5d0\uac8c \ud53c\ud574 \uc548\uc918\uc57c \ubc1b\uc744 \uc218 \uc788\ub294\uac8c \uc778\uad8c\uc774\uc9c0. \ub0a8\uc5d0\uac8c \ud53c\ud574\uc900 \uc21c\uac04 \uadf8\uac74 \uc778\uac04\uc774 \uc544\ub2c8\uae30\uc5d0 \uc778\uad8c\uc774 \uc5c6\ub294\uac70\uc9c0", "\ud558.. \uc791\uac00\ub2d8 \uc81c\uac00 \uc77c\uc9c4\uc0c8\ud0a4\ub4e4 \uc874\ub098\uac8c \ud328\ub294 \uac70 \uc88b\uc544\ud558\ub294\uac74 \ub610 \uc5b4\ub5bb\uac8c \uc54c\uad81..\u2661", "\uc0bc\ub2e8\ubd09 \ub9de\uc544\ubd24\ub294\ub370 \uc800\uac70 \uc9c4\uc9dc \ud749\uae30\uc57c..\uc9c4\uc9dc \uc544\ud508\uc815\ub3c4\uac00 \uc544\ub2d8\uc8fd\uc74c", "\ub0a8\uc8fc\uc9c4\uc9dc \uc120\uc0dd\ub2d8\ub108\ubb34\uc798\uc0dd\uacbc\ub2e4", "\uc9c4\uc9dc \uc18c\uc7ac \ub108\ubb34 \uc88b\uc740 \uac83\uac19\uc544\uc694.. \uc694\uc0c8 \ub85c\ud310\uc774\ub098 \uadf8\ub7f0\uac83\ub4e4\ub9cc \uc62c\ub77c\uc624\ub294\ub370 ", "\uc774\uac8c \uc6f9\ud230\uc774\ub2e4", "\uc774\ub7ec\ub2e4 \uc5b8\uc820\uac04 \ubbf8\ub9ac\ubcf4\uae30 \ud55c\ud654\ub2f9 5\uac1c \uc9c0\ub974\ub77c\uace0 \ud558\uaca0\ub124 \u314b\u314b\u314b\u314b\u314b\u314b\u314b", "\uccab\ubc30\ub313\ub9d0\uc774 \ubc31\ubc88 \ud569\ub2f9\ud568.\uc720\ud29c\ube0c \ubd10\ub77c. \uc5b4\ub5a4\uc0c8\ub07c\uac00 \uad11\uace0 \ub450\uac1c \uacb9\uccd0\ub193\ub354\ub2c8 \uc774\uc820 \uae30\ubcf8 \ub450\uac1c\uc796\uc544\ub450\uac1c\ub85c \uc904\uc774\ub358\uc9c0 \ub2e4\ub978 \uc6f9\ud230\ub4e4\uc5d0 \uc801\uc6a9\uc2dc\ud0a4\uc9c0 \ub9d0\ub358\uc9c0 \ub458\uc911\ud558\ub09c \ud574\uc57c\ud55c\ub2e4", "\uc77c\ub2e8 \uc6f9\ud230 \uba87\uac1c \ucfe0\ud0a43\uac1c\ub85c \uc62c\ub824\ub193\uace0 \ubc18\uc751\ubcf4\uace0 \ub2e4\ub978 \uc6f9\ud230\ub3c4 \ub369\ub2ec\uc5443\uac1c\ub85c \uc62c\ub9b4\uac70\ub2e4\uadf8\ub9ac\uace0 \uc810\ucc28 \uc62c\ub9ac\uace0\uc62c\ub824 5\uac1c\uae4c\uc9c0 \uc62c\ub9ac\uaca0\uc9c0", "\uc7bc\ubbfc\uc774\ub4e4\uc774 \ub3c8 \uc548\ubc8c\uc5b4\ubd10\uc11c 50% \uc778\uc0c1\uc740 \ub208\uc5d0 \uc548\ubcf4\uc774\uace0 \ub2f9\uc7a5 \uaca8\uc6b0 100\uc6d0 \uc624\ub974\ub294\uac70 \ud558\ub098\ub9cc \ubcf4\uc774\ub294\uad6c\ub098 \u314b\u314b\u314b \uc5b4\uc774\uad6c", "\uc7bc\ubbfc\uc774\ub4e4\uc544 \uc9c0\uae08 \ucfe0\ud0a4300\uc6d0\uc774\ub77c \uc801\uc5b4\ubcf4\uc774\ub294\uac70\uac19\uc740\ub370 \ub2c8\ub4e4\uc774 \ubcf4\uc774\ub294\uac8c \uc804\ubd80\uac00 \uc544\ub2c8\ub2e4~", "3\ucfe0\ud0a4.. \ub09c \uc5ec\uae30\uc11c \uc2a4\ud0d1\ud558\ub828\ub2e4", "\uc598\ub124\uac00 \uc9c0\uae08 \uac70\uc758 \ubaa8\ub4e0\uc6f9\ud230\uc774 \ubb34\ub8cc\ud654\ub418\uc5b4\uc788\ub294 \ub124\uc774\ubc84\uc5d0\uc11c \ubca0\ub313\ucc98\ub7fc\uc598\uae30\ud558\ub2c8\uae4c \uc2e4\uac10\uc774 \uc798 \uc548\uc678\uc11c \uadf8\ub7ec\ub294\ub370 \uc9c0\uae08 \uce74\uce74\uc624\ud398\uc774\uc9c0\ub294 \uac70\uc758 \uba38\ub4e0\uc6f9\ud230\uc774 \uc720\ub8cc\ud654\uac70\ub4e0? \uce74\uce74\uc624\ud398\uc774\uac00 \ud55c\ud654\ub2f9 200\uce90\uc2dc\uc778\ub370 \uac11\uc790\uae30 \uc544\ubb34\ub7f0 \uacf5\uc9c0\uc5c6\uc774 \uc18c\uc18d\uc0ac \ube75\ube75\ud55c\uc791\uac00\uc758 \uc2e0\uc791 \uac00\uaca9\uc744 300\uce90\uc2dc\ub85c \uc62c\ub9b0\uac70\ub9ac\uace0 \ubcf4\uba74 \ub428 \uac70\uc758 \ud544\uc218\uc801\uc73c\ub85c \uc791\ud488\uc73c\ub85c \uc628\uc804\ud788\uc990\uae30\ub824\uba74 \uce90\uc2dc\ub97c \uc8fc\uace0 \uc0ac\uc57c\ud558\uace0 \uc7ac\ubc0c\ub294\uc791\ud488\uc740 \uac70\uc758\ub2e4 \uc720\ub8cc\uc778 \uce74\uce74\uc624\ud398\ub2c8\uc9c0\uc5d0\uc11c 300\uc73c\ub85c \uc62c\ub838\ub2e4? \uc560\ub4e4 \ub09c\ub9ac\ub0a0\uac78? \uadfc\ub370 \ub098\uac19\uc740.\ub77c\uc774\ud2b8\uc720\uc800\ub77c\uba74 \ubaa8\ub97c\uae4c \uc774\uc775\uc744 \ub0b4\ub294 \uc8fc\uc694\uace0\uac1d\uce35\uc778 \ucfe0\ud0a4\uad7d\ub294\uc0ac\ub78c\ub4e4\uc774 \ub124\uc774\ubc84\uc758 \uac70\uc758 \uc720\uc77c\ud55c \uace0\uac1d\uc778\ub370 \uadf8\ub7f0\uc0ac\ub78c\ub4e4\ud55c\ud14c \ub9d0\ub3c4\uc548\ud558\uace0 \uac11\uc790\uae30 \uac00\uaca9 \uc778\uc0c1? 10~20\ud37c\ub3c4 \uc544\ub2c8\uace0 50\ud37c? \uc774\uac74 \ud654\ub0a0\ub9cc \ud558\uc9c0\uc801\uc5b4\ub3c4 \uc62c\ub9ac\uae30\uc804\uc5d0 \uc774\uc720\ub77c\ub3c4 \uc57c\uae30\ub97c \ud558\ub358\uc9c0 \uc544\ub2c8\uba74 \ud1b5\ubcf4\ub77c\ub3c4 \uacf5\uc9c0\ub97c \uc62c\ub9ac\ub358\uc9c0 \ud574\uc57c\ud55c\ub2e4\ub294\uac70\uc784 \uc774\ub7f0\uac70\uc5d0\ub300\ud574\uc11c \ub530\uc9c0\ub294\uac74 \ucabc\uc794\ud55c\uac8c\uc544\ub2c8\uace0 \uc18c\ube44\uc790\ub85c\uc368 \uad8c\ub9ac\ub97c \ucc59\uae38\uc904\uc544\ub294\uac70\uc784 \uc790\uae30 \ud751\uc6b0\uc778\uac70 \ud2f0\ub0b4\uc9c0\ub9d0\uace0 \uc798\ubaa8\ub974\uaca0\uc73c\uba74 \u3139\u3147\u314b\u314b\ub9cc \uce58\ub358\uc9c0 \uc870\uc6a9\ud788 \uc785\ub2e4\ubb3c\uace0 \uadf8\ub0e5 \uc54c\uc544\uc11c \uacb0\uc81c\ud558\uace0 \ubcf4\uc148 \uac00\uaca9\ub0b4\ub9ac\uba74\uc9c0\ub4e4\ub3c4 \uc88b\uc73c\uba74\uc11c...", "\uc774\uac70\uc65c3\ucfe0\ud0a4\ub2c8?50%\ub294 \uc120\ub118\ub294\uac70 \uc544\ub2c8\ub2c8? \ub534\ub188\ub4e4\ub3c4 \uc2a4\ubb3c\uc2a4\ubb3c \uc62c\ub9ac\uaca0\ub124?", "\uc544\ub2c8 3\ucfe0\ud0a4\ub294 \ub124\uc774\ubc84\ub97c \uc695\ud558\uace0 \ucfe0\ud0a4\ubd88\ub9e4 \ud558\uba74 \ub418\uc9c0 \uc791\ud488 \ubcc4\ud14c\ub294 \uc218\uc900 \ub5a8\uc5b4\uc9c4\ub2e4", "2\ucfe0\ud0a4\ub294 \ubcf4\uace0 3\ucfe0\ud0a4\ub294 \ubd88\ub9e4\ud558\uba74 \ub0b4\ub824\uac00\uc9c0 \uc54a\uaca0\ub098..? \uc544\ub2d8 \ub9d0\uad6c \ub09c 3\ucfe0\ud0a4\ub294 \uc548 \uc0b4\ub798\uc694", "\uc7ac\ubc0c\uc5b4\uc11c \uacb0\uc81c\ud560\ub77c\ud588\ub294\ub370 \uc9c4\uc9dc 3\ucfe0\ud0a4\ub124\u314b\u314b\u314b\u314b\u314b\u314b \ubca0\ub313\ub9d0 \ud2c0\ub9b0\uac70 \ud558\ub098\uc5c6\ub2e4 50%\uc778\uc0c1\uc778\ub370 \uc548\uc544\uae4c\uc6b4\uac8c \uc774\uc0c1\ud55c\uac70\uc81c\u314b\u314b", "\ubcc4\ud14c\ub294 \uc880 \ud558\uc9c0\ub9d0\uc790\uc6f9\ud230\uc774 \uc798\ubabb\ud55c\uac83\ub3c4 \uc544\ub2c8\uad6c;\uc798\ubabb\ud55c\uac83\ub3c4 \uc5c6\ub294\ub370 \ud53c\ud574\ubc1b\uc744 \uc77c\uc740 \uc5c6\uc790\ub098;;", "\ucfe0\ud0a4 3\uac1c\ub294 \ub124\uc774\ubc84\ub97c \uc695\ud574\uc57c\uc9c0 \uc65c \uc791\uac00\ub2d8\uc744 \uc695\ud558\ub0d0 \ub3c5\uc790 \uc218\uc900 \u3148\u3134 \ub0ae\ub124", "\uc544\ub2c8 \ubc30\ub313\uc744 \ub2e4 \ucfe0\ud0a4 \uc598\uae30\uc57c;;\uc880 \ub0b4\uc6a9 \uc598\uae30\uc880 \ubcf4\uc790 \uc9dc\uc99d\ub098\uac8c", "3\ucfe0\uae30\uac00 \ub108\ubb34\ud55c\uac74 \ub9de\uc9c0\ub9cc \uc791\uac00\ub2d8\uc774\ub791\uc740 \uc0c1\uad00\uc5c6\uc796\uc544\uc694...\uadf8\ub2c8\uae50 \uc791\uac00\ub2d8 \uc695\ud558\uc9c0\ub9c8\uc2dc\uace0 \ubcc4\ud14c\ub3c4 \ud558\uc9c0\ub9d0\uc544\uc8fc\uc138\uc694...", "\uc194\uc9c1\ud788 \ub9de\uc544\ubcf8\uc0ac\ub78c\uc740 \uc548\ub2e4 \uc800 \ud050\ub300\uac00 \uc5bc\ub9c8\ub098 \uadf8\ub9bd\uac10 \uc8fd\uc5ec\uc8fc\uace0 \ud0c0\uaca9\uac10\uc774 \uac1c\uca54\uc5b4\uc11c \uc120\uc0dd\ub4e4\uc774 \uc5bc\ub9c8\ub098 \uc798 \uc560\uc6a9\ud558\ub294\uc9c0\ub97c", "\u314b\u314b 3\ucfe0\ud0a4\ub97c \uc544\ubb34\ub807\uc9c0 \uc54a\uac8c \ubcf4\ub294\uc0ac\ub78c\uc774 \ud558\ub098\ub458 \uc0dd\uae30\ub294 \uc774\uc0c1 3\ucfe0\ud0a4\uc758 \ud750\ub984\uc740 \uac70\uc2a4\ub97c\uc218 \uc5c6\uac8c\ub418\ub294\uaca8", "\uac80\uc131 \uace0\uae38\ub3d9 \uc5b4\ub514\uac14\ub0d0", "3\uac1c 2\uac1c \uc120\uc815 \uc870\uac74\uc774 \ubb58\uae4c? \uc791\uac00\uac00 \uc6d0\ud558\ub294 \ub9cc\ud07c\uc778\uac00?", "\ub9cc\uc548\uad6c \ud669\uae08\ud050\ub300\u314b\u314b\u314b\u314b\u314b\u314b\u314b\u314b", "\u3139\u3147\uc774\ub124? \uc774\uac70 \uc65c \ucfe0\ud0a4 3\uac1c\uc784?", "\uadfc\ub370 \ub098\ub9cc \ucfe0\ud0a4 \uc778\uc0c1\uacfc \ubcc4\ud14c\uac00 \uad00\uacc4\uac00 \uc788\ub294\uac74\uc9c0 \uc774\ud574\uac00 \uc548\ub418\ub098?? 3\ucfe0\ud0a4 \ub0b4\uc57c\ub41c\ub2e4\uace0 \ubcc4\ud14c\ub97c?? \ub098\ub9cc \uc774\ud574\uac00 \uc548 \ub418\ub294\ub370...", "\uadfc\ub370 \uc800 \uc120\uc0dd\ub2d8 \uc798\uc0dd\uacbc\uc9c0 \uc54a\uc74c?\ub098\ub9cc\uadf8\ub7f0\uac00", "\ubcf8\uc778\ub4e4 \ud604\uba85\ud55c \uc18c\ube44\uc790\uc778\ucc99 \ub313\uae00\ucc3d \ucfe0\ud0a4 \uc598\uae30\ub85c \ub3c4\ubc30\ud574\ub1a8\ub124\u314b\u314b\u314b\uc9c4\uc9dc \ud604\uba85\ud55c \uc18c\ube44\uc790\ub294 \uadf8\ub0e5 \uc77c\uc8fc\uc77c \uae30\ub2e4\ub824\uc11c \ub9cc\ud654 \ubd04. \ucfe0\ud0a4\uac19\uc740\uac70 \uc870\uc6a9\ud788 \uc548\uad7d\ub294\ub2e4\ub294\uac70\uc9c0\ucfe0\ud0a4 \uad6c\uc6cc\uc11c \uc694\ub780\ud558\uac8c \ub313\uae00 \ub0a8\uae30\ub294\uac74 \ub124\uc774\ubc84 \uce21\uc5d0\uc11c\ub294 \uc804\ud600 \uc704\ud611\uc774 \uc548\ub428\uc544\ub2cc\uac70\uac19\uc73c\uba74 \uc18c\ube44\ub97c \uc548\ud574\uc8fc\uba74 \ub418\ub294\uac74\ub370 \uad73\uc774\uad73\uc774 \ucfe0\ud0a4 \uad6c\uc6cc\ub193\uace0 \ub611\ub611\ud55c\ucc99 \uada4\ubcc0 \ub298\uc5b4\ub193\ub294\uac70 \uc9dc\uc99d\ub0a8 \uba87\uc8fc\ub0b4\ub0b4 \ubca0\ub313\ucc3d\uc5d0 \ucfe0\ud0a4\uc598\uae30\ubc16\uc5d0\uc5c6\ub294\uac70 \uc7a5\ub09c\ud558\ub0d0\uace0;", "\uc544\ub2c8 \ucfe0\ud0a4\ub294 \ucfe0\ud0a4\uace0 \ubcc4\uc810\uc740 \ubcc4\uc810\uc774\uc9c0 \ubcc4\uc810\uc774 8\uc810\ub300\uc778 \uc774\uc720\uac00 \ubb50\uc784?", "\uc640 3\ucfe0\ud0a4 \uc600\uc5b4????? \uc2e4\ud654\uc57c????? \ub09c \uc5ec\uae30\uae4c\uc9c0! 3\ucfe0\ud0a4\ub294 \ubabb\uad7d\uc2b5\ub2c8\ub2e4! \uad6c\uc6b0\uc2e4\ubd84\uc740 \uc2dc\uc7a5\uc6d0\uce59\uc5d0 \ub530\ub77c \uacc4\uc18d \uad6c\uc6b0\uc2dc\uba74 \ub418\uaca0\uc2b5\ub2c8\ub2e4", "\ucfe0\ud0a4\uac00 3\uac1c\uba74 \ucfe0\ud0a4\ub97c \uc548 \uad6c\uc6b0\uba74 \ub420\uac83\uc774\uc9c0 \ubcc4\uc810\ud14c\ub7ec\ub294 \uc65c \ud558\ub0d0\u314b\u314b", "\uadf8\ub0e5 \ub3c8 \uc544\uae4c\uc6b4 \uc0ac\ub78c\uc740 \ubcc4\uc810 \uccd0 \ub0b4\ub9ac\uc9c0 \ub9d0\uace0 \uadf8\ub0e5 \ud55c \uc8fc \uae30\ub2e4\ub9ac\uba74 \ub418\uc796\uc544?", "\ubcc4\ud0dc\ud558\uc9c0\ub9c8\ub77c\uace0 ", "\ubcc4\ud14c \ubb50\ub0d0...\uc544\ubb34\ub9ac \ucfe0\ud0a4\uac00 3\uac1c\ub77c\uace0 \ud558\uc9c0\ub9cc \uadf8\ub807\ub2e4\uace0 \uc791\ud488\uc5d0 \ub300\ud55c \ubcc4\ud0dc\ub97c \ud558\uba74 \uc548\ub418\uc9c0"]
